address,isHostedBySuperhost,location/lat,location/lng,name,numberOfGuests,pricing/rate/amount,roomType,stars,map_link
"Aamwala, Uttarakhand, India",TRUE,30.36688,77.9941,"Div Estate: Wedding Venue (Aamwala, Dehradun)",10,12601,Farm stay,4.6,"https://www.google.com/maps?q=30.36688,77.9941"
"Abu Road, Rajasthan, India",FALSE,24.53351,72.79282,ChaCha Villa,12,11082,Entire bungalow,4.8,"https://www.google.com/maps?q=24.53351,72.79282"
"Achrol, Rajasthan, India",FALSE,27.13538,75.96086,The Foothills Villas -  A nature's home in Aravali,16,11722,Farm stay,4.6,"https://www.google.com/maps?q=27.13538,75.96086"
"Agra, Uttar Pradesh, India",TRUE,27.14421,78.04574,Two rooms set with rooftop garden,4,10481,Private room in home,4.6,"https://www.google.com/maps?q=27.14421,78.04574"
"Ahmedabad, Gujarat, India",FALSE,23.071,72.557,Recently Renovated Bungalow in the Heart of City,16,10481,Entire bungalow,4.6,"https://www.google.com/maps?q=23.071,72.557"
"Ahmedabad, Gujarat, India",FALSE,23.01665,72.37177,Kalhaar blues&greens Luxurious golf Villa(entire),6,12541,Entire bungalow,4.8,"https://www.google.com/maps?q=23.01665,72.37177"
"Alappuzha, Kerala, India",FALSE,9.50274,76.35192,Angel Boat House 4 Bedroom,8,11421,Houseboat,4.6,"https://www.google.com/maps?q=9.50274,76.35192"
"Alappuzha, Kerala, India",FALSE,9.46028,76.36189,Luxury five bedroom private houseboat,15,12468,Boat,5.0,"https://www.google.com/maps?q=9.46028,76.36189"
"Alappuzha, Kerala, India",FALSE,9.54289,76.35456,The Rain- 3BR Luxiries w/Breakfast and Kayaking,9,12515,Private room in villa,4.6,"https://www.google.com/maps?q=9.54289,76.35456"
"Alappuzha, Kerala, India",FALSE,9.47909,76.38724,Spice Routes Houseboats - Pepper,4,11534,Houseboat,4.6,"https://www.google.com/maps?q=9.47909,76.38724"
"Alappuzha, Kerala, India",FALSE,9.46065,76.39451,Spice Routes Houseboat- Saffron,2,12541,Houseboat,4.6,"https://www.google.com/maps?q=9.46065,76.39451"
"Alappuzha, Kerala, India",FALSE,9.54264,76.35528,"The Rain 4BHK w/Breakfast, Kayaking & Infinty Pool",12,12548,Entire villa,4.9,"https://www.google.com/maps?q=9.54264,76.35528"
"Alappuzha, Kerala, India",FALSE,9.46949,76.38729,Spice Routes Houseboats - Cinnamon,6,12698,Houseboat,4.6,"https://www.google.com/maps?q=9.46949,76.38729"
"Alappuzha, Kerala, India",FALSE,9.4925,76.39202,Spice Routes Houseboats - Clove,6,11698,Houseboat,4.6,"https://www.google.com/maps?q=9.4925,76.39202"
"Aldona, Goa, India",TRUE,15.59977,73.87164,4 Bhk Heritage home with big Pool-The Aldona House,10,10722,Entire home,4.9,"https://www.google.com/maps?q=15.59977,73.87164"
"Alibag, Maharashtra, India",FALSE,18.791,72.882,"Arabella, 4BR Luxury Pool Villa Near Mandwa Jetty",16,10458,Entire villa,4.7,"https://www.google.com/maps?q=18.791,72.882"
"Alibag, Maharashtra, India",FALSE,18.60635,72.90085,Pvt Resort with Pool at Nagaon Beach.,16,10469,Entire vacation home,4.6,"https://www.google.com/maps?q=18.60635,72.90085"
"Alibag, Maharashtra, India",FALSE,18.66683,72.87466,Private Villa in Alibaug-Mazzo Reef,4,12481,Entire home/apt,4.6,"https://www.google.com/maps?q=18.66683,72.87466"
"Alibag, Maharashtra, India",TRUE,18.72961,72.88579,Kapadia Bunglow,10,12481,Entire bungalow,4.9,"https://www.google.com/maps?q=18.72961,72.88579"
"Alibag, Maharashtra, India",FALSE,18.73712,72.87669,"The Goan Pool Villa, Amidst Mother Nature, Alibag",12,12498,Farm stay,4.1,"https://www.google.com/maps?q=18.73712,72.87669"
"Alibag, Maharashtra, India",TRUE,18.65748,72.87744,Frangipani by Hireavilla-5BR Lux Estate in Alibaug,15,12701,Entire home,4.5,"https://www.google.com/maps?q=18.65748,72.87744"
"Alibag, Maharashtra, India",FALSE,18.65904,72.87707,StayVista at Casa Bella- Luxury Villa W/Sea View,16,10842,Entire villa,4.0,"https://www.google.com/maps?q=18.65904,72.87707"
"Alibag, Maharashtra, India",FALSE,18.64594,72.89102,coconut villa 3 bhk,12,13804,Entire villa,4.7,"https://www.google.com/maps?q=18.64594,72.89102"
